COUNTY,PRECINCT,timing,election_name,VOTER COUNT
COLLIN,104,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1417
COLLIN,104,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,56
COLLIN,104,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,70
COLLIN,105,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,65
COLLIN,105,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,19
COLLIN,105,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,100
COLLIN,105,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,73
COLLIN,105,EV,2020 NOVEMBER 3RD GENERAL ELECTION,821
COLLIN,105,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,1
COLLIN,106,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,44
COLLIN,106,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,105
COLLIN,106,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,62
COLLIN,106,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,21
COLLIN,106,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,155
COLLIN,106,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,139
COLLIN,106,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1311
COLLIN,106,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,54
COLLIN,106,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,158
COLLIN,107,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,76
COLLIN,107,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,168
COLLIN,107,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,191
COLLIN,107,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,81
COLLIN,107,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,327
COLLIN,107,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,267
COLLIN,107,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2487
COLLIN,107,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,172
COLLIN,107,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,340
COLLIN,108,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,67
COLLIN,108,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,113
COLLIN,108,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,160
COLLIN,108,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,29
COLLIN,108,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,312
COLLIN,108,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,182
COLLIN,108,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2114
COLLIN,108,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,122
COLLIN,108,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,242
COLLIN,109,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,66
COLLIN,109,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,268
COLLIN,109,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,154
COLLIN,109,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,88
COLLIN,109,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,296
COLLIN,109,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,282
COLLIN,109,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2913
COLLIN,109,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,133
COLLIN,109,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,463
COLLIN,11,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,60
COLLIN,11,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,505
COLLIN,11,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,33
COLLIN,11,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,37
COLLIN,11,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,90
COLLIN,11,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,377
COLLIN,11,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2556
COLLIN,11,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,56
COLLIN,11,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,436
COLLIN,110,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,97
COLLIN,110,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,199
COLLIN,110,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,149
COLLIN,110,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,63
COLLIN,110,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,243
COLLIN,110,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,211
COLLIN,110,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1954
COLLIN,110,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,149
COLLIN,110,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,258
COLLIN,111,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,43
COLLIN,111,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,239
COLLIN,111,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,128
COLLIN,111,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,53
COLLIN,111,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,204
COLLIN,111,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,235
COLLIN,111,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3788
COLLIN,111,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,43
COLLIN,111,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,263
COLLIN,112,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,67
COLLIN,112,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,157
COLLIN,112,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,181
COLLIN,112,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,61
COLLIN,112,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,305
COLLIN,112,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,241
COLLIN,112,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2315
COLLIN,112,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,146
COLLIN,112,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,359
COLLIN,113,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,47
COLLIN,113,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,106
COLLIN,113,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,98
COLLIN,113,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,52
COLLIN,113,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,194
COLLIN,113,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,217
COLLIN,113,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2024
COLLIN,113,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,88
COLLIN,113,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,251
COLLIN,114,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,69
COLLIN,114,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,297
COLLIN,114,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,25
COLLIN,114,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,13
COLLIN,114,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,44
COLLIN,114,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,111
COLLIN,114,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1042
COLLIN,114,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,57
COLLIN,114,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,203
COLLIN,115,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,90
COLLIN,115,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,199
COLLIN,115,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,186
COLLIN,115,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,44
COLLIN,115,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,311
COLLIN,115,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,182
COLLIN,115,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2127
COLLIN,115,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,141
COLLIN,115,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,206
COLLIN,116,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,93
COLLIN,116,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,339
COLLIN,116,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,192
COLLIN,116,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,70
COLLIN,116,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,399
COLLIN,116,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,282
COLLIN,116,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3592
COLLIN,116,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,139
COLLIN,116,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,493
COLLIN,117,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,91
COLLIN,117,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,206
COLLIN,117,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,165
COLLIN,117,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,35
COLLIN,117,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,311
COLLIN,117,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,241
COLLIN,117,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2904
COLLIN,117,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,135
COLLIN,117,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,277
COLLIN,118,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,74
COLLIN,118,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,257
COLLIN,118,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,111
COLLIN,118,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,39
COLLIN,118,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,223
COLLIN,118,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,269
COLLIN,118,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3080
COLLIN,118,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,101
COLLIN,118,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,383
COLLIN,119,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,48
COLLIN,119,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,120
COLLIN,119,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,282
COLLIN,119,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,114
COLLIN,119,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,557
COLLIN,119,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,504
COLLIN,119,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3990
COLLIN,119,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,101
COLLIN,119,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,263
COLLIN,12,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,49
COLLIN,12,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,133
COLLIN,12,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,89
COLLIN,12,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,40
COLLIN,12,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,122
COLLIN,12,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,176
COLLIN,12,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1506
COLLIN,12,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,91
COLLIN,12,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,251
COLLIN,120,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,70
COLLIN,120,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,236
COLLIN,120,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,143
COLLIN,120,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,58
COLLIN,120,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,268
COLLIN,120,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,276
COLLIN,120,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2644
COLLIN,120,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,106
COLLIN,120,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,469
COLLIN,121,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,56
COLLIN,121,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,106
COLLIN,121,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,146
COLLIN,121,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,49
COLLIN,121,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,315
COLLIN,121,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,118
COLLIN,121,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2061
COLLIN,121,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,96
COLLIN,121,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,198
COLLIN,122,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,92
COLLIN,122,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,394
COLLIN,122,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,177
COLLIN,122,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,102
COLLIN,122,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,282
COLLIN,122,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,493
COLLIN,122,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3773
COLLIN,122,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,126
COLLIN,122,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,686
COLLIN,123,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,51
COLLIN,123,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,138
COLLIN,123,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,93
COLLIN,123,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,39
COLLIN,123,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,152
COLLIN,123,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,155
COLLIN,123,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1435
COLLIN,123,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,56
COLLIN,123,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,212
COLLIN,124,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,55
COLLIN,124,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,130
COLLIN,124,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,137
COLLIN,124,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,67
COLLIN,124,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,259
COLLIN,124,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,177
COLLIN,124,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2165
COLLIN,124,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,128
COLLIN,124,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,278
COLLIN,125,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,269
COLLIN,125,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,279
COLLIN,125,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,194
COLLIN,125,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,46
COLLIN,125,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,440
COLLIN,125,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,234
COLLIN,125,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3539
COLLIN,125,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,240
COLLIN,125,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,331
COLLIN,126,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,99
COLLIN,126,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,237
COLLIN,126,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,164
COLLIN,126,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,50
COLLIN,126,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,278
COLLIN,126,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,282
COLLIN,126,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3225
COLLIN,126,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,198
COLLIN,126,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,408
COLLIN,127,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,70
COLLIN,127,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,155
COLLIN,127,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,145
COLLIN,127,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,24
COLLIN,127,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,248
COLLIN,127,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,179
COLLIN,127,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2519
COLLIN,127,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,120
COLLIN,127,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,278
COLLIN,128,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,37
COLLIN,128,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,372
COLLIN,128,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,121
COLLIN,128,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,74
COLLIN,128,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,184
COLLIN,128,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,492
COLLIN,128,EV,2020 NOVEMBER 3RD GENERAL ELECTION,3808
COLLIN,128,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,58
COLLIN,128,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,461
COLLIN,129,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,83
COLLIN,129,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,271
COLLIN,129,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,127
COLLIN,129,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,70
COLLIN,129,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,224
COLLIN,129,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,291
COLLIN,129,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2876
COLLIN,129,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,128
COLLIN,129,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,373
COLLIN,13,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,39
COLLIN,13,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,214
COLLIN,13,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,65
COLLIN,13,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,82
COLLIN,13,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,160
COLLIN,13,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,357
COLLIN,13,EV,2020 NOVEMBER 3RD GENERAL ELECTION,4809
COLLIN,13,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,43
COLLIN,13,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,270
COLLIN,130,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,96
COLLIN,130,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,195
COLLIN,130,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,197
COLLIN,130,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,47
COLLIN,130,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,312
COLLIN,130,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,226
COLLIN,130,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2761
COLLIN,130,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,132
COLLIN,130,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,299
COLLIN,131,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,35
COLLIN,131,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,215
COLLIN,131,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,100
COLLIN,131,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,39
COLLIN,131,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,191
COLLIN,131,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,229
COLLIN,131,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2101
COLLIN,131,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,80
COLLIN,131,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,326
COLLIN,132,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,92
COLLIN,132,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,135
COLLIN,132,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,164
COLLIN,132,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,22
COLLIN,132,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,278
COLLIN,132,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,158
COLLIN,132,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2039
COLLIN,132,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,129
COLLIN,132,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,189
COLLIN,133,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,56
COLLIN,133,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,110
COLLIN,133,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,67
COLLIN,133,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,21
COLLIN,133,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,135
COLLIN,133,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,160
COLLIN,133,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1656
COLLIN,133,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,68
COLLIN,133,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,165
